NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
1,Brasil,2,%,0.34,1,Brasil,63,IPCA - Variação mensal,200308,agosto 2003
1,Brasil,2,%,0.78,1,Brasil,63,IPCA - Variação mensal,200309,setembro 2003
1,Brasil,2,%,0.29,1,Brasil,63,IPCA - Variação mensal,200310,outubro 2003
1,Brasil,2,%,0.34,1,Brasil,63,IPCA - Variação mensal,200311,novembro 2003
1,Brasil,2,%,0.52,1,Brasil,63,IPCA - Variação mensal,200312,dezembro 2003
1,Brasil,2,%,0.76,1,Brasil,63,IPCA - Variação mensal,200401,janeiro 2004
1,Brasil,2,%,0.61,1,Brasil,63,IPCA - Variação mensal,200402,fevereiro 2004
1,Brasil,2,%,0.47,1,Brasil,63,IPCA - Variação mensal,200403,março 2004
1,Brasil,2,%,0.37,1,Brasil,63,IPCA - Variação mensal,200404,abril 2004
1,Brasil,2,%,0.51,1,Brasil,63,IPCA - Variação mensal,200405,maio 2004
1,Brasil,2,%,0.71,1,Brasil,63,IPCA - Variação mensal,200406,junho 2004
1,Brasil,2,%,0.91,1,Brasil,63,IPCA - Variação mensal,200407,julho 2004
1,Brasil,2,%,0.69,1,Brasil,63,IPCA - Variação mensal,200408,agosto 2004
1,Brasil,2,%,0.33,1,Brasil,63,IPCA - Variação mensal,200409,setembro 2004
1,Brasil,2,%,0.44,1,Brasil,63,IPCA - Variação mensal,200410,outubro 2004
1,Brasil,2,%,0.69,1,Brasil,63,IPCA - Variação mensal,200411,novembro 2004
1,Brasil,2,%,0.86,1,Brasil,63,IPCA - Variação mensal,200412,dezembro 2004
1,Brasil,2,%,0.58,1,Brasil,63,IPCA - Variação mensal,200501,janeiro 2005
1,Brasil,2,%,0.59,1,Brasil,63,IPCA - Variação mensal,200502,fevereiro 2005
1,Brasil,2,%,0.61,1,Brasil,63,IPCA - Variação mensal,200503,março 2005
1,Brasil,2,%,0.87,1,Brasil,63,IPCA - Variação mensal,200504,abril 2005
1,Brasil,2,%,0.49,1,Brasil,63,IPCA - Variação mensal,200505,maio 2005
1,Brasil,2,%,-0.02,1,Brasil,63,IPCA - Variação mensal,200506,junho 2005
1,Brasil,2,%,0.25,1,Brasil,63,IPCA - Variação mensal,200507,julho 2005
1,Brasil,2,%,0.17,1,Brasil,63,IPCA - Variação mensal,200508,agosto 2005
1,Brasil,2,%,0.35,1,Brasil,63,IPCA - Variação mensal,200509,setembro 2005
1,Brasil,2,%,0.75,1,Brasil,63,IPCA - Variação mensal,200510,outubro 2005
1,Brasil,2,%,0.55,1,Brasil,63,IPCA - Variação mensal,200511,novembro 2005
1,Brasil,2,%,0.36,1,Brasil,63,IPCA - Variação mensal,200512,dezembro 2005
1,Brasil,2,%,0.59,1,Brasil,63,IPCA - Variação mensal,200601,janeiro 2006
1,Brasil,2,%,0.41,1,Brasil,63,IPCA - Variação mensal,200602,fevereiro 2006
1,Brasil,2,%,0.43,1,Brasil,63,IPCA - Variação mensal,200603,março 2006
1,Brasil,2,%,0.21,1,Brasil,63,IPCA - Variação mensal,200604,abril 2006
1,Brasil,2,%,0.10,1,Brasil,63,IPCA - Variação mensal,200605,maio 2006
1,Brasil,2,%,-0.21,1,Brasil,63,IPCA - Variação mensal,200606,junho 2006
1,Brasil,2,%,0.19,1,Brasil,63,IPCA - Variação mensal,200607,julho 2006
1,Brasil,2,%,0.05,1,Brasil,63,IPCA - Variação mensal,200608,agosto 2006
1,Brasil,2,%,0.21,1,Brasil,63,IPCA - Variação mensal,200609,setembro 2006
1,Brasil,2,%,0.33,1,Brasil,63,IPCA - Variação mensal,200610,outubro 2006
1,Brasil,2,%,0.31,1,Brasil,63,IPCA - Variação mensal,200611,novembro 2006
1,Brasil,2,%,0.48,1,Brasil,63,IPCA - Variação mensal,200612,dezembro 2006
1,Brasil,2,%,0.44,1,Brasil,63,IPCA - Variação mensal,200701,janeiro 2007
1,Brasil,2,%,0.44,1,Brasil,63,IPCA - Variação mensal,200702,fevereiro 2007
1,Brasil,2,%,0.37,1,Brasil,63,IPCA - Variação mensal,200703,março 2007
1,Brasil,2,%,0.25,1,Brasil,63,IPCA - Variação mensal,200704,abril 2007
1,Brasil,2,%,0.28,1,Brasil,63,IPCA - Variação mensal,200705,maio 2007
1,Brasil,2,%,0.28,1,Brasil,63,IPCA - Variação mensal,200706,junho 2007
1,Brasil,2,%,0.24,1,Brasil,63,IPCA - Variação mensal,200707,julho 2007
1,Brasil,2,%,0.47,1,Brasil,63,IPCA - Variação mensal,200708,agosto 2007
1,Brasil,2,%,0.18,1,Brasil,63,IPCA - Variação mensal,200709,setembro 2007
1,Brasil,2,%,0.30,1,Brasil,63,IPCA - Variação mensal,200710,outubro 2007
1,Brasil,2,%,0.38,1,Brasil,63,IPCA - Variação mensal,200711,novembro 2007
1,Brasil,2,%,0.74,1,Brasil,63,IPCA - Variação mensal,200712,dezembro 2007
1,Brasil,2,%,0.54,1,Brasil,63,IPCA - Variação mensal,200801,janeiro 2008
1,Brasil,2,%,0.49,1,Brasil,63,IPCA - Variação mensal,200802,fevereiro 2008
1,Brasil,2,%,0.48,1,Brasil,63,IPCA - Variação mensal,200803,março 2008
1,Brasil,2,%,0.55,1,Brasil,63,IPCA - Variação mensal,200804,abril 2008
1,Brasil,2,%,0.79,1,Brasil,63,IPCA - Variação mensal,200805,maio 2008
1,Brasil,2,%,0.74,1,Brasil,63,IPCA - Variação mensal,200806,junho 2008
1,Brasil,2,%,0.53,1,Brasil,63,IPCA - Variação mensal,200807,julho 2008
1,Brasil,2,%,0.28,1,Brasil,63,IPCA - Variação mensal,200808,agosto 2008
1,Brasil,2,%,0.26,1,Brasil,63,IPCA - Variação mensal,200809,setembro 2008
1,Brasil,2,%,0.45,1,Brasil,63,IPCA - Variação mensal,200810,outubro 2008
1,Brasil,2,%,0.36,1,Brasil,63,IPCA - Variação mensal,200811,novembro 2008
1,Brasil,2,%,0.28,1,Brasil,63,IPCA - Variação mensal,200812,dezembro 2008
1,Brasil,2,%,0.48,1,Brasil,63,IPCA - Variação mensal,200901,janeiro 2009
1,Brasil,2,%,0.55,1,Brasil,63,IPCA - Variação mensal,200902,fevereiro 2009
1,Brasil,2,%,0.20,1,Brasil,63,IPCA - Variação mensal,200903,março 2009
1,Brasil,2,%,0.48,1,Brasil,63,IPCA - Variação mensal,200904,abril 2009
1,Brasil,2,%,0.47,1,Brasil,63,IPCA - Variação mensal,200905,maio 2009
1,Brasil,2,%,0.36,1,Brasil,63,IPCA - Variação mensal,200906,junho 2009
1,Brasil,2,%,0.24,1,Brasil,63,IPCA - Variação mensal,200907,julho 2009
1,Brasil,2,%,0.15,1,Brasil,63,IPCA - Variação mensal,200908,agosto 2009
1,Brasil,2,%,0.24,1,Brasil,63,IPCA - Variação mensal,200909,setembro 2009
1,Brasil,2,%,0.28,1,Brasil,63,IPCA - Variação mensal,200910,outubro 2009
1,Brasil,2,%,0.41,1,Brasil,63,IPCA - Variação mensal,200911,novembro 2009
1,Brasil,2,%,0.37,1,Brasil,63,IPCA - Variação mensal,200912,dezembro 2009
1,Brasil,2,%,0.75,1,Brasil,63,IPCA - Variação mensal,201001,janeiro 2010
1,Brasil,2,%,0.78,1,Brasil,63,IPCA - Variação mensal,201002,fevereiro 2010
1,Brasil,2,%,0.52,1,Brasil,63,IPCA - Variação mensal,201003,março 2010
1,Brasil,2,%,0.57,1,Brasil,63,IPCA - Variação mensal,201004,abril 2010
1,Brasil,2,%,0.43,1,Brasil,63,IPCA - Variação mensal,201005,maio 2010
1,Brasil,2,%,0.00,1,Brasil,63,IPCA - Variação mensal,201006,junho 2010
1,Brasil,2,%,0.01,1,Brasil,63,IPCA - Variação mensal,201007,julho 2010
1,Brasil,2,%,0.04,1,Brasil,63,IPCA - Variação mensal,201008,agosto 2010
1,Brasil,2,%,0.45,1,Brasil,63,IPCA - Variação mensal,201009,setembro 2010
1,Brasil,2,%,0.75,1,Brasil,63,IPCA - Variação mensal,201010,outubro 2010
1,Brasil,2,%,0.83,1,Brasil,63,IPCA - Variação mensal,201011,novembro 2010
1,Brasil,2,%,0.63,1,Brasil,63,IPCA - Variação mensal,201012,dezembro 2010
1,Brasil,2,%,0.83,1,Brasil,63,IPCA - Variação mensal,201101,janeiro 2011
1,Brasil,2,%,0.80,1,Brasil,63,IPCA - Variação mensal,201102,fevereiro 2011
1,Brasil,2,%,0.79,1,Brasil,63,IPCA - Variação mensal,201103,março 2011
1,Brasil,2,%,0.77,1,Brasil,63,IPCA - Variação mensal,201104,abril 2011
1,Brasil,2,%,0.47,1,Brasil,63,IPCA - Variação mensal,201105,maio 2011
1,Brasil,2,%,0.15,1,Brasil,63,IPCA - Variação mensal,201106,junho 2011
1,Brasil,2,%,0.16,1,Brasil,63,IPCA - Variação mensal,201107,julho 2011
1,Brasil,2,%,0.37,1,Brasil,63,IPCA - Variação mensal,201108,agosto 2011
1,Brasil,2,%,0.53,1,Brasil,63,IPCA - Variação mensal,201109,setembro 2011
1,Brasil,2,%,0.43,1,Brasil,63,IPCA - Variação mensal,201110,outubro 2011
1,Brasil,2,%,0.52,1,Brasil,63,IPCA - Variação mensal,201111,novembro 2011
1,Brasil,2,%,0.50,1,Brasil,63,IPCA - Variação mensal,201112,dezembro 2011
1,Brasil,2,%,0.56,1,Brasil,63,IPCA - Variação mensal,201201,janeiro 2012
1,Brasil,2,%,0.45,1,Brasil,63,IPCA - Variação mensal,201202,fevereiro 2012
1,Brasil,2,%,0.21,1,Brasil,63,IPCA - Variação mensal,201203,março 2012
1,Brasil,2,%,0.64,1,Brasil,63,IPCA - Variação mensal,201204,abril 2012
1,Brasil,2,%,0.36,1,Brasil,63,IPCA - Variação mensal,201205,maio 2012
1,Brasil,2,%,0.08,1,Brasil,63,IPCA - Variação mensal,201206,junho 2012
1,Brasil,2,%,0.43,1,Brasil,63,IPCA - Variação mensal,201207,julho 2012
1,Brasil,2,%,0.41,1,Brasil,63,IPCA - Variação mensal,201208,agosto 2012
1,Brasil,2,%,0.57,1,Brasil,63,IPCA - Variação mensal,201209,setembro 2012
1,Brasil,2,%,0.59,1,Brasil,63,IPCA - Variação mensal,201210,outubro 2012
1,Brasil,2,%,0.60,1,Brasil,63,IPCA - Variação mensal,201211,novembro 2012
1,Brasil,2,%,0.79,1,Brasil,63,IPCA - Variação mensal,201212,dezembro 2012
1,Brasil,2,%,0.86,1,Brasil,63,IPCA - Variação mensal,201301,janeiro 2013
1,Brasil,2,%,0.60,1,Brasil,63,IPCA - Variação mensal,201302,fevereiro 2013
1,Brasil,2,%,0.47,1,Brasil,63,IPCA - Variação mensal,201303,março 2013
1,Brasil,2,%,0.55,1,Brasil,63,IPCA - Variação mensal,201304,abril 2013
1,Brasil,2,%,0.37,1,Brasil,63,IPCA - Variação mensal,201305,maio 2013
1,Brasil,2,%,0.26,1,Brasil,63,IPCA - Variação mensal,201306,junho 2013
1,Brasil,2,%,0.03,1,Brasil,63,IPCA - Variação mensal,201307,julho 2013
1,Brasil,2,%,0.24,1,Brasil,63,IPCA - Variação mensal,201308,agosto 2013
1,Brasil,2,%,0.35,1,Brasil,63,IPCA - Variação mensal,201309,setembro 2013
1,Brasil,2,%,0.57,1,Brasil,63,IPCA - Variação mensal,201310,outubro 2013
1,Brasil,2,%,0.54,1,Brasil,63,IPCA - Variação mensal,201311,novembro 2013
1,Brasil,2,%,0.92,1,Brasil,63,IPCA - Variação mensal,201312,dezembro 2013
1,Brasil,2,%,0.55,1,Brasil,63,IPCA - Variação mensal,201401,janeiro 2014
1,Brasil,2,%,0.69,1,Brasil,63,IPCA - Variação mensal,201402,fevereiro 2014
1,Brasil,2,%,0.92,1,Brasil,63,IPCA - Variação mensal,201403,março 2014
1,Brasil,2,%,0.67,1,Brasil,63,IPCA - Variação mensal,201404,abril 2014
1,Brasil,2,%,0.46,1,Brasil,63,IPCA - Variação mensal,201405,maio 2014
1,Brasil,2,%,0.40,1,Brasil,63,IPCA - Variação mensal,201406,junho 2014
1,Brasil,2,%,0.01,1,Brasil,63,IPCA - Variação mensal,201407,julho 2014
1,Brasil,2,%,0.25,1,Brasil,63,IPCA - Variação mensal,201408,agosto 2014
1,Brasil,2,%,0.57,1,Brasil,63,IPCA - Variação mensal,201409,setembro 2014
1,Brasil,2,%,0.42,1,Brasil,63,IPCA - Variação mensal,201410,outubro 2014
1,Brasil,2,%,0.51,1,Brasil,63,IPCA - Variação mensal,201411,novembro 2014
1,Brasil,2,%,0.78,1,Brasil,63,IPCA - Variação mensal,201412,dezembro 2014
1,Brasil,2,%,1.24,1,Brasil,63,IPCA - Variação mensal,201501,janeiro 2015
1,Brasil,2,%,1.22,1,Brasil,63,IPCA - Variação mensal,201502,fevereiro 2015
1,Brasil,2,%,1.32,1,Brasil,63,IPCA - Variação mensal,201503,março 2015
1,Brasil,2,%,0.71,1,Brasil,63,IPCA - Variação mensal,201504,abril 2015
1,Brasil,2,%,0.74,1,Brasil,63,IPCA - Variação mensal,201505,maio 2015
1,Brasil,2,%,0.79,1,Brasil,63,IPCA - Variação mensal,201506,junho 2015
1,Brasil,2,%,0.62,1,Brasil,63,IPCA - Variação mensal,201507,julho 2015
1,Brasil,2,%,0.22,1,Brasil,63,IPCA - Variação mensal,201508,agosto 2015
1,Brasil,2,%,0.54,1,Brasil,63,IPCA - Variação mensal,201509,setembro 2015
1,Brasil,2,%,0.82,1,Brasil,63,IPCA - Variação mensal,201510,outubro 2015
1,Brasil,2,%,1.01,1,Brasil,63,IPCA - Variação mensal,201511,novembro 2015
1,Brasil,2,%,0.96,1,Brasil,63,IPCA - Variação mensal,201512,dezembro 2015
1,Brasil,2,%,1.27,1,Brasil,63,IPCA - Variação mensal,201601,janeiro 2016
1,Brasil,2,%,0.90,1,Brasil,63,IPCA - Variação mensal,201602,fevereiro 2016
1,Brasil,2,%,0.43,1,Brasil,63,IPCA - Variação mensal,201603,março 2016
1,Brasil,2,%,0.61,1,Brasil,63,IPCA - Variação mensal,201604,abril 2016
1,Brasil,2,%,0.78,1,Brasil,63,IPCA - Variação mensal,201605,maio 2016
1,Brasil,2,%,0.35,1,Brasil,63,IPCA - Variação mensal,201606,junho 2016
1,Brasil,2,%,0.52,1,Brasil,63,IPCA - Variação mensal,201607,julho 2016
1,Brasil,2,%,0.44,1,Brasil,63,IPCA - Variação mensal,201608,agosto 2016
1,Brasil,2,%,0.08,1,Brasil,63,IPCA - Variação mensal,201609,setembro 2016
1,Brasil,2,%,0.26,1,Brasil,63,IPCA - Variação mensal,201610,outubro 2016
1,Brasil,2,%,0.18,1,Brasil,63,IPCA - Variação mensal,201611,novembro 2016
1,Brasil,2,%,0.30,1,Brasil,63,IPCA - Variação mensal,201612,dezembro 2016
1,Brasil,2,%,0.38,1,Brasil,63,IPCA - Variação mensal,201701,janeiro 2017
1,Brasil,2,%,0.33,1,Brasil,63,IPCA - Variação mensal,201702,fevereiro 2017
1,Brasil,2,%,0.25,1,Brasil,63,IPCA - Variação mensal,201703,março 2017
1,Brasil,2,%,0.14,1,Brasil,63,IPCA - Variação mensal,201704,abril 2017
1,Brasil,2,%,0.31,1,Brasil,63,IPCA - Variação mensal,201705,maio 2017
1,Brasil,2,%,-0.23,1,Brasil,63,IPCA - Variação mensal,201706,junho 2017
1,Brasil,2,%,0.24,1,Brasil,63,IPCA - Variação mensal,201707,julho 2017
1,Brasil,2,%,0.19,1,Brasil,63,IPCA - Variação mensal,201708,agosto 2017
1,Brasil,2,%,0.16,1,Brasil,63,IPCA - Variação mensal,201709,setembro 2017
1,Brasil,2,%,0.42,1,Brasil,63,IPCA - Variação mensal,201710,outubro 2017
1,Brasil,2,%,0.28,1,Brasil,63,IPCA - Variação mensal,201711,novembro 2017
1,Brasil,2,%,0.44,1,Brasil,63,IPCA - Variação mensal,201712,dezembro 2017
1,Brasil,2,%,0.29,1,Brasil,63,IPCA - Variação mensal,201801,janeiro 2018
1,Brasil,2,%,0.32,1,Brasil,63,IPCA - Variação mensal,201802,fevereiro 2018
1,Brasil,2,%,0.09,1,Brasil,63,IPCA - Variação mensal,201803,março 2018
1,Brasil,2,%,0.22,1,Brasil,63,IPCA - Variação mensal,201804,abril 2018
1,Brasil,2,%,0.40,1,Brasil,63,IPCA - Variação mensal,201805,maio 2018
1,Brasil,2,%,1.26,1,Brasil,63,IPCA - Variação mensal,201806,junho 2018
1,Brasil,2,%,0.33,1,Brasil,63,IPCA - Variação mensal,201807,julho 2018
1,Brasil,2,%,-0.09,1,Brasil,63,IPCA - Variação mensal,201808,agosto 2018
1,Brasil,2,%,0.48,1,Brasil,63,IPCA - Variação mensal,201809,setembro 2018
1,Brasil,2,%,0.45,1,Brasil,63,IPCA - Variação mensal,201810,outubro 2018
1,Brasil,2,%,-0.21,1,Brasil,63,IPCA - Variação mensal,201811,novembro 2018
1,Brasil,2,%,0.15,1,Brasil,63,IPCA - Variação mensal,201812,dezembro 2018
1,Brasil,2,%,0.32,1,Brasil,63,IPCA - Variação mensal,201901,janeiro 2019
1,Brasil,2,%,0.43,1,Brasil,63,IPCA - Variação mensal,201902,fevereiro 2019
1,Brasil,2,%,0.75,1,Brasil,63,IPCA - Variação mensal,201903,março 2019
1,Brasil,2,%,0.57,1,Brasil,63,IPCA - Variação mensal,201904,abril 2019
1,Brasil,2,%,0.13,1,Brasil,63,IPCA - Variação mensal,201905,maio 2019
1,Brasil,2,%,0.01,1,Brasil,63,IPCA - Variação mensal,201906,junho 2019
1,Brasil,2,%,0.19,1,Brasil,63,IPCA - Variação mensal,201907,julho 2019
1,Brasil,2,%,0.11,1,Brasil,63,IPCA - Variação mensal,201908,agosto 2019
1,Brasil,2,%,-0.04,1,Brasil,63,IPCA - Variação mensal,201909,setembro 2019
1,Brasil,2,%,0.10,1,Brasil,63,IPCA - Variação mensal,201910,outubro 2019
1,Brasil,2,%,0.51,1,Brasil,63,IPCA - Variação mensal,201911,novembro 2019
1,Brasil,2,%,1.15,1,Brasil,63,IPCA - Variação mensal,201912,dezembro 2019
1,Brasil,2,%,0.21,1,Brasil,63,IPCA - Variação mensal,202001,janeiro 2020
1,Brasil,2,%,0.25,1,Brasil,63,IPCA - Variação mensal,202002,fevereiro 2020
1,Brasil,2,%,0.07,1,Brasil,63,IPCA - Variação mensal,202003,março 2020
1,Brasil,2,%,-0.31,1,Brasil,63,IPCA - Variação mensal,202004,abril 2020
1,Brasil,2,%,-0.38,1,Brasil,63,IPCA - Variação mensal,202005,maio 2020
1,Brasil,2,%,0.26,1,Brasil,63,IPCA - Variação mensal,202006,junho 2020
1,Brasil,2,%,0.36,1,Brasil,63,IPCA - Variação mensal,202007,julho 2020
1,Brasil,2,%,0.24,1,Brasil,63,IPCA - Variação mensal,202008,agosto 2020
1,Brasil,2,%,0.64,1,Brasil,63,IPCA - Variação mensal,202009,setembro 2020
1,Brasil,2,%,0.86,1,Brasil,63,IPCA - Variação mensal,202010,outubro 2020
1,Brasil,2,%,0.89,1,Brasil,63,IPCA - Variação mensal,202011,novembro 2020
1,Brasil,2,%,1.35,1,Brasil,63,IPCA - Variação mensal,202012,dezembro 2020
1,Brasil,2,%,0.25,1,Brasil,63,IPCA - Variação mensal,202101,janeiro 2021
1,Brasil,2,%,0.86,1,Brasil,63,IPCA - Variação mensal,202102,fevereiro 2021
1,Brasil,2,%,0.93,1,Brasil,63,IPCA - Variação mensal,202103,março 2021
1,Brasil,2,%,0.31,1,Brasil,63,IPCA - Variação mensal,202104,abril 2021
1,Brasil,2,%,0.83,1,Brasil,63,IPCA - Variação mensal,202105,maio 2021
1,Brasil,2,%,0.53,1,Brasil,63,IPCA - Variação mensal,202106,junho 2021
1,Brasil,2,%,0.96,1,Brasil,63,IPCA - Variação mensal,202107,julho 2021
1,Brasil,2,%,0.87,1,Brasil,63,IPCA - Variação mensal,202108,agosto 2021
1,Brasil,2,%,1.16,1,Brasil,63,IPCA - Variação mensal,202109,setembro 2021
1,Brasil,2,%,1.25,1,Brasil,63,IPCA - Variação mensal,202110,outubro 2021
1,Brasil,2,%,0.95,1,Brasil,63,IPCA - Variação mensal,202111,novembro 2021
1,Brasil,2,%,0.73,1,Brasil,63,IPCA - Variação mensal,202112,dezembro 2021
1,Brasil,2,%,0.54,1,Brasil,63,IPCA - Variação mensal,202201,janeiro 2022
1,Brasil,2,%,1.01,1,Brasil,63,IPCA - Variação mensal,202202,fevereiro 2022
1,Brasil,2,%,1.62,1,Brasil,63,IPCA - Variação mensal,202203,março 2022
1,Brasil,2,%,1.06,1,Brasil,63,IPCA - Variação mensal,202204,abril 2022
1,Brasil,2,%,0.47,1,Brasil,63,IPCA - Variação mensal,202205,maio 2022
1,Brasil,2,%,0.67,1,Brasil,63,IPCA - Variação mensal,202206,junho 2022
1,Brasil,2,%,-0.68,1,Brasil,63,IPCA - Variação mensal,202207,julho 2022
1,Brasil,2,%,-0.36,1,Brasil,63,IPCA - Variação mensal,202208,agosto 2022
1,Brasil,2,%,-0.29,1,Brasil,63,IPCA - Variação mensal,202209,setembro 2022
1,Brasil,2,%,0.59,1,Brasil,63,IPCA - Variação mensal,202210,outubro 2022
1,Brasil,2,%,0.41,1,Brasil,63,IPCA - Variação mensal,202211,novembro 2022
1,Brasil,2,%,0.62,1,Brasil,63,IPCA - Variação mensal,202212,dezembro 2022
1,Brasil,2,%,0.53,1,Brasil,63,IPCA - Variação mensal,202301,janeiro 2023
1,Brasil,2,%,0.84,1,Brasil,63,IPCA - Variação mensal,202302,fevereiro 2023
1,Brasil,2,%,0.71,1,Brasil,63,IPCA - Variação mensal,202303,março 2023
1,Brasil,2,%,0.61,1,Brasil,63,IPCA - Variação mensal,202304,abril 2023
1,Brasil,2,%,0.23,1,Brasil,63,IPCA - Variação mensal,202305,maio 2023
1,Brasil,2,%,-0.08,1,Brasil,63,IPCA - Variação mensal,202306,junho 2023
1,Brasil,2,%,0.12,1,Brasil,63,IPCA - Variação mensal,202307,julho 2023
1,Brasil,2,%,0.23,1,Brasil,63,IPCA - Variação mensal,202308,agosto 2023
1,Brasil,2,%,0.26,1,Brasil,63,IPCA - Variação mensal,202309,setembro 2023
1,Brasil,2,%,0.24,1,Brasil,63,IPCA - Variação mensal,202310,outubro 2023
1,Brasil,2,%,0.28,1,Brasil,63,IPCA - Variação mensal,202311,novembro 2023
1,Brasil,2,%,0.56,1,Brasil,63,IPCA - Variação mensal,202312,dezembro 2023
1,Brasil,2,%,0.42,1,Brasil,63,IPCA - Variação mensal,202401,janeiro 2024
1,Brasil,2,%,0.83,1,Brasil,63,IPCA - Variação mensal,202402,fevereiro 2024
1,Brasil,2,%,0.16,1,Brasil,63,IPCA - Variação mensal,202403,março 2024
1,Brasil,2,%,0.38,1,Brasil,63,IPCA - Variação mensal,202404,abril 2024
1,Brasil,2,%,0.46,1,Brasil,63,IPCA - Variação mensal,202405,maio 2024
1,Brasil,2,%,0.21,1,Brasil,63,IPCA - Variação mensal,202406,junho 2024
1,Brasil,2,%,0.38,1,Brasil,63,IPCA - Variação mensal,202407,julho 2024
1,Brasil,2,%,-0.02,1,Brasil,63,IPCA - Variação mensal,202408,agosto 2024
1,Brasil,2,%,0.44,1,Brasil,63,IPCA - Variação mensal,202409,setembro 2024
1,Brasil,2,%,0.56,1,Brasil,63,IPCA - Variação mensal,202410,outubro 2024
1,Brasil,2,%,0.39,1,Brasil,63,IPCA - Variação mensal,202411,novembro 2024
1,Brasil,2,%,0.52,1,Brasil,63,IPCA - Variação mensal,202412,dezembro 2024
